,target name,complex feature set,feature selection parameter 1,feature selection parameter 2,learner algorithm,duality set RMSE,duality set R^2,test set RMSE,test set R^2,learner parameter dict
120,sigma,I_01s2d,II_ps,5,III_la,0.000,0.148,0.000,0.064,{'alpha': [1.4e-05]}
121,sigma,I_01s2p,II_r2r,5,III_la,0.000,0.148,0.000,0.064,{'alpha': [1.3e-05]}
122,sigma,I_01s2h,II_r2r,5,III_la,0.000,0.151,0.000,0.061,{'alpha': [9e-06]}
123,sigma,I_11s2l,II_ps,3,III_la,0.000,0.117,0.000,0.057,{'alpha': [1e-06]}
124,sigma,I_11s2p,II_ps,3,III_la,0.000,0.117,0.000,0.057,{'alpha': [1e-06]}
125,sigma,I_11s2h,II_ps,3,III_la,0.000,0.117,0.000,0.057,{'alpha': [1e-06]}
126,sigma,I_11s2g,II_ps,3,III_la,0.000,0.117,0.000,0.057,{'alpha': [1e-06]}
127,sigma,I_11s2d,II_ps,3,III_la,0.000,0.117,0.000,0.057,{'alpha': [1e-06]}
128,sigma,I_10s2l,II_ps,3,III_la,0.000,0.105,0.000,0.054,{'alpha': [1e-06]}
129,sigma,I_10s2p,II_ps,3,III_la,0.000,0.105,0.000,0.054,{'alpha': [1e-06]}
130,sigma,I_10s2h,II_ps,3,III_la,0.000,0.105,0.000,0.054,{'alpha': [1e-06]}
131,sigma,I_10s2g,II_ps,3,III_la,0.000,0.105,0.000,0.054,{'alpha': [1e-06]}
132,sigma,I_10s2d,II_ps,3,III_la,0.000,0.105,0.000,0.054,{'alpha': [1e-06]}
