,target name,complex feature set,feature selection parameter 1,feature selection parameter 2,learner algorithm,training set RMSE,training set R^2,duality set RMSE,duality set R^2,test set RMSE,test set R^2,learner parameter dict
507,ltl10,i_11a,ii_random,des_random_5,iii_gbrt,0.168,0.730,0.200,0.382,0.300,0.456,"{'learning_rate': [0.083], 'max_depth': [6], 'max_features': [18], 'max_leaf_nodes': [20], 'n_estimators': [40]}"
508,ltl10,i_11a,ii_random,des_random_3,iii_rf,0.169,0.726,0.200,0.419,0.300,0.456,"{'max_depth': [12], 'max_features': [10], 'max_leaf_nodes': [50], 'n_estimators': [260]}"
509,ltl10,i_13cg,ii_random,des_random_1,iii_rf,0.163,0.746,0.200,0.412,0.300,0.455,"{'max_depth': [12], 'max_features': [40], 'max_leaf_nodes': [50], 'n_estimators': [2020]}"
510,ltl10,i_12cn,ii_random,des_random_1,iii_lgbm,0.190,0.654,0.200,0.404,0.300,0.455,"{'learning_rate': [0.072], 'max_depth': [10], 'n_estimators': [90], 'num_leaves': [20]}"
511,ltl10,i_12cn,ii_random,des_random_6,iii_gbrt,0.190,0.653,0.300,0.345,0.300,0.454,"{'learning_rate': [0.11], 'max_depth': [6], 'max_features': [5], 'max_leaf_nodes': [8], 'n_estimators': [110]}"
512,ltl10,i_12cl,ii_la,la_ff_final,iii_svm_rbf,0.206,0.594,0.200,0.478,0.300,0.454,{'gamma': [0.0083]}
513,ltl10,i_11ch,ii_random,des_random_7,iii_gbrt,0.153,0.775,0.200,0.369,0.300,0.454,"{'learning_rate': [0.096], 'max_depth': [6], 'max_features': [30], 'max_leaf_nodes': [10], 'n_estimators': [100]}"
514,ltl10,i_02s1h,ii_random,des_random_4,iii_gbrt,0.178,0.696,0.300,0.327,0.300,0.454,"{'learning_rate': [0.092], 'max_depth': [8], 'max_features': [30], 'max_leaf_nodes': [16], 'n_estimators': [50]}"
515,ltl10,i_11cl,ii_corr,60,iii_svm_rbf,0.169,0.727,0.200,0.516,0.300,0.452,{'gamma': [0.012]}
516,ltl10,i_13cp,ii_random,des_random_7,iii_gbrt,0.171,0.720,0.200,0.376,0.300,0.452,"{'learning_rate': [0.09], 'max_depth': [6], 'max_features': [35], 'max_leaf_nodes': [14], 'n_estimators': [50]}"
517,ltl10,i_13cn,ii_corr,45,iii_rf,0.157,0.763,0.200,0.386,0.300,0.452,"{'max_depth': [12], 'max_features': [39], 'max_leaf_nodes': [50], 'n_estimators': [90]}"
518,ltl10,i_13cd,ii_rf,rf_ff_final,iii_lgbm,0.116,0.870,0.200,0.387,0.300,0.452,"{'learning_rate': [0.06], 'max_depth': [10], 'n_estimators': [560], 'num_leaves': [20]}"
519,ltl10,i_02cd,ii_random,des_random_8,iii_lgbm,0.142,0.807,0.300,0.284,0.300,0.452,"{'learning_rate': [0.089], 'max_depth': [14], 'n_estimators': [380], 'num_leaves': [20]}"
520,ltl10,i_12cn,ii_corr,40,iii_rf,0.160,0.754,0.200,0.373,0.300,0.452,"{'max_depth': [12], 'max_features': [34], 'max_leaf_nodes': [50], 'n_estimators': [110]}"
521,ltl10,i_13cn,ii_random,des_random_8,iii_gbrt,0.148,0.791,0.200,0.424,0.300,0.452,"{'learning_rate': [0.09], 'max_depth': [6], 'max_features': [5], 'max_leaf_nodes': [12], 'n_estimators': [180]}"
522,ltl10,i_11ch,ii_random,des_random_1,iii_gbrt,0.141,0.809,0.200,0.369,0.300,0.451,"{'learning_rate': [0.083], 'max_depth': [6], 'max_features': [45], 'max_leaf_nodes': [50], 'n_estimators': [60]}"
523,ltl10,i_12ch,ii_random,des_random_9,iii_gbrt,0.113,0.877,0.200,0.428,0.300,0.451,"{'learning_rate': [0.19], 'max_depth': [8], 'max_features': [20], 'max_leaf_nodes': [26], 'n_estimators': [60]}"
524,ltl10,i_02cd,ii_random,des_random_3,iii_lgbm,0.143,0.804,0.300,0.275,0.300,0.451,"{'learning_rate': [0.082], 'max_depth': [8], 'n_estimators': [410], 'num_leaves': [20]}"
525,ltl10,i_13cg,ii_corr,70,iii_gbrt,0.166,0.735,0.200,0.419,0.300,0.450,"{'learning_rate': [0.093], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [8], 'n_estimators': [130]}"
526,ltl10,i_12cd,ii_random,des_random_5,iii_lgbm,0.158,0.760,0.300,0.357,0.300,0.450,"{'learning_rate': [0.098], 'max_depth': [6], 'n_estimators': [250], 'num_leaves': [20]}"
527,ltl10,i_11a,ii_random,des_random_4,iii_rf,0.163,0.744,0.300,0.361,0.300,0.450,"{'max_depth': [14], 'max_features': [23], 'max_leaf_nodes': [50], 'n_estimators': [1960]}"
