,target name,complex feature set,feature selection parameter 1,feature selection parameter 2,learner algorithm,training set RMSE,training set R^2,duality set RMSE,duality set R^2,test set RMSE,test set R^2,learner parameter dict
76,sigma,i_01s1g,ii_random,des_random_6,iii_lgbm,0.031,0.585,0.000,0.410,0.000,0.368,"{'learning_rate': [0.087], 'max_depth': [12], 'n_estimators': [30], 'num_leaves': [20]}"
77,sigma,i_01s1d,ii_random,des_random_2,iii_gbrt,0.032,0.549,0.000,0.342,0.000,0.362,"{'learning_rate': [0.078], 'max_depth': [6], 'max_features': [19], 'max_leaf_nodes': [16], 'n_estimators': [70]}"
78,sigma,i_13s1g,ii_random,des_random_6,iii_gbrt,0.033,0.517,0.000,0.323,0.000,0.362,"{'learning_rate': [0.074], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [38], 'n_estimators': [80]}"
79,sigma,i_02s3d,ii_mlr,mlr_ff_multifinal,iii_rf,0.033,0.537,0.000,0.363,0.000,0.361,"{'max_depth': [28], 'max_features': [35], 'max_leaf_nodes': [42], 'n_estimators': [120]}"
80,sigma,i_02s1d,ii_rf,rf_ff_final,iii_lgbm,0.036,0.442,0.000,0.364,0.000,0.357,"{'learning_rate': [0.14], 'max_depth': [4], 'n_estimators': [140], 'num_leaves': [20]}"
81,sigma,i_11s3p,ii_mlr,mlr_ff_multifinal,iii_lgbm,0.036,0.447,0.000,0.355,0.000,0.356,"{'learning_rate': [0.13], 'max_depth': [14], 'n_estimators': [50], 'num_leaves': [20]}"
82,sigma,i_10s1l,ii_random,des_random_3,iii_rf,0.038,0.365,0.000,0.293,0.000,0.354,"{'max_depth': [8], 'max_features': [10], 'max_leaf_nodes': [28], 'n_estimators': [50]}"
83,sigma,i_10s1h,ii_rf,rf_ff_final,iii_lgbm,0.038,0.375,0.000,0.330,0.000,0.342,"{'learning_rate': [0.06], 'max_depth': [10], 'n_estimators': [100], 'num_leaves': [20]}"
84,sigma,i_11s3d,ii_corr,20,iii_lgbm,0.036,0.427,0.000,0.342,0.000,0.336,"{'learning_rate': [0.1], 'max_depth': [8], 'n_estimators': [120], 'num_leaves': [20]}"
85,sigma,i_13s3d,ii_corr,30,iii_gbrt,0.035,0.467,0.000,0.359,0.000,0.327,"{'learning_rate': [0.041], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [10], 'n_estimators': [120]}"
86,sigma,i_11s1g,ii_mlr,mlr_ff_multifinal,iii_rf,0.035,0.459,0.000,0.291,0.000,0.327,"{'max_depth': [10], 'max_features': [20], 'max_leaf_nodes': [48], 'n_estimators': [1400]}"
87,sigma,i_01s3d,ii_random,des_random_7,iii_gbrt,0.031,0.593,0.000,0.358,0.000,0.326,"{'learning_rate': [0.073], 'max_depth': [6], 'max_features': [5], 'max_leaf_nodes': [32], 'n_estimators': [60]}"
88,sigma,i_13s1d,ii_random,des_random_4,iii_gbrt,0.036,0.444,0.000,0.276,0.000,0.324,"{'learning_rate': [0.1], 'max_depth': [14], 'max_features': [15], 'max_leaf_nodes': [38], 'n_estimators': [700]}"
89,sigma,i_12s1g,ii_random,des_random_6,iii_gbrt,0.035,0.457,0.000,0.321,0.000,0.321,"{'learning_rate': [0.086], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [14], 'n_estimators': [70]}"
90,sigma,i_12s3d,ii_corr,30,iii_rf,0.034,0.510,0.000,0.356,0.000,0.317,"{'max_depth': [14], 'max_features': [10], 'max_leaf_nodes': [50], 'n_estimators': [1580]}"
91,sigma,i_10s3p,ii_mlr,mlr_ff_multifinal,iii_gbrt,0.038,0.373,0.000,0.292,0.000,0.305,"{'learning_rate': [0.1], 'max_depth': [10], 'max_features': [11], 'max_leaf_nodes': [8], 'n_estimators': [120]}"
92,sigma,i_12s1d,ii_random,des_random_5,iii_gbrt,0.040,0.309,0.000,0.254,0.000,0.294,"{'learning_rate': [0.092], 'max_depth': [4], 'max_features': [13], 'max_leaf_nodes': [8], 'n_estimators': [90]}"
93,sigma,i_10s3d,ii_corr,10,iii_gbrt,0.039,0.345,0.000,0.294,0.000,0.243,"{'learning_rate': [0.18], 'max_depth': [4], 'max_features': [10], 'max_leaf_nodes': [8], 'n_estimators': [30]}"
94,sigma,i_10s1g,ii_random,des_random_7,iii_rf,0.042,0.245,0.000,0.214,0.000,0.231,"{'max_depth': [6], 'max_features': [9], 'max_leaf_nodes': [10], 'n_estimators': [2090]}"
95,sigma,i_10s1d,ii_random,des_random_less10,iii_gbrt,0.043,0.178,0.000,0.136,0.000,0.203,"{'learning_rate': [0.12], 'max_depth': [4], 'max_features': [8], 'max_leaf_nodes': [6], 'n_estimators': [40]}"
96,sigma,i_11s1d,ii_rf,rf_ff_final,iii_gbrt,0.043,0.184,0.000,0.118,0.000,0.198,"{'learning_rate': [0.09], 'max_depth': [10], 'max_features': [9], 'max_leaf_nodes': [24], 'n_estimators': [20]}"
97,sigma,i_13s3h,ii_random,des_random_5,iii_gbrt,0.037,0.389,0.000,0.277,0.000,0.196,"{'learning_rate': [0.048], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [18], 'n_estimators': [100]}"
98,sigma,i_01s3h,ii_corr,25,iii_gbrt,0.035,0.472,0.000,0.263,0.000,0.195,"{'learning_rate': [0.074], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [16], 'n_estimators': [150]}"
99,sigma,i_12s3h,ii_corr,15,iii_gbrt,0.038,0.369,0.000,0.249,0.000,0.195,"{'learning_rate': [0.082], 'max_depth': [4], 'max_features': [14], 'max_leaf_nodes': [14], 'n_estimators': [140]}"
100,sigma,i_02s3h,ii_random,des_random_1,iii_gbrt,0.037,0.406,0.000,0.264,0.000,0.188,"{'learning_rate': [0.083], 'max_depth': [4], 'max_features': [25], 'max_leaf_nodes': [16], 'n_estimators': [60]}"
101,sigma,i_11s3h,ii_rf,rf_ff_final,iii_gbrt,0.040,0.305,0.000,0.211,0.000,0.182,"{'learning_rate': [0.19], 'max_depth': [6], 'max_features': [9], 'max_leaf_nodes': [6], 'n_estimators': [30]}"
102,sigma,i_13s2l,ii_la,la_ff_final,iii_rf,0.045,0.129,0.000,0.079,0.000,0.116,"{'max_depth': [4], 'max_features': [5], 'max_leaf_nodes': [6], 'n_estimators': [20]}"
103,sigma,i_13s2p,ii_la,la_ff_final,iii_rf,0.045,0.129,0.000,0.079,0.000,0.116,"{'max_depth': [4], 'max_features': [5], 'max_leaf_nodes': [6], 'n_estimators': [20]}"
104,sigma,i_13s2h,ii_la,la_ff_final,iii_rf,0.045,0.129,0.000,0.079,0.000,0.116,"{'max_depth': [4], 'max_features': [5], 'max_leaf_nodes': [6], 'n_estimators': [20]}"
105,sigma,i_13s2g,ii_la,la_ff_final,iii_rf,0.045,0.129,0.000,0.079,0.000,0.116,"{'max_depth': [4], 'max_features': [5], 'max_leaf_nodes': [6], 'n_estimators': [20]}"
106,sigma,i_13s2d,ii_la,la_ff_final,iii_rf,0.045,0.129,0.000,0.079,0.000,0.116,"{'max_depth': [4], 'max_features': [5], 'max_leaf_nodes': [6], 'n_estimators': [20]}"
107,sigma,i_02s2l,ii_corr,15,iii_la,0.044,0.148,0.000,0.129,0.000,0.114,{'alpha': [0.00043]}
108,sigma,i_02s2p,ii_corr,15,iii_la,0.044,0.148,0.000,0.129,0.000,0.114,{'alpha': [0.00043]}
109,sigma,i_02s2h,ii_corr,15,iii_la,0.044,0.148,0.000,0.129,0.000,0.114,{'alpha': [0.00043]}
110,sigma,i_02s2g,ii_corr,15,iii_la,0.044,0.148,0.000,0.129,0.000,0.114,{'alpha': [0.00043]}
111,sigma,i_02s2d,ii_corr,15,iii_la,0.044,0.148,0.000,0.129,0.000,0.114,{'alpha': [0.00043]}
112,sigma,i_10s3h,ii_la,la_ff_final,iii_la,0.045,0.100,0.000,0.151,0.000,0.113,{'alpha': [1e-06]}
113,sigma,i_12s2p,ii_la,la_ff_final,iii_la,0.044,0.136,0.000,0.089,0.000,0.106,{'alpha': [1e-06]}
114,sigma,i_12s2h,ii_la,la_ff_final,iii_la,0.044,0.136,0.000,0.089,0.000,0.106,{'alpha': [1e-06]}
115,sigma,i_12s2g,ii_la,la_ff_final,iii_la,0.044,0.136,0.000,0.089,0.000,0.106,{'alpha': [1e-06]}
116,sigma,i_12s2l,ii_la,la_ff_final,iii_la,0.044,0.136,0.000,0.089,0.000,0.106,{'alpha': [1e-06]}
117,sigma,i_12s2d,ii_la,la_ff_final,iii_la,0.044,0.136,0.000,0.089,0.000,0.106,{'alpha': [1e-06]}
118,sigma,i_01s2g,ii_random,des_random_less10,iii_lgbm,0.044,0.154,0.000,0.124,0.000,0.104,"{'learning_rate': [0.06], 'max_depth': [8], 'n_estimators': [30], 'num_leaves': [20]}"
119,sigma,i_01s2l,ii_random,des_random_less10,iii_lgbm,0.044,0.154,0.000,0.124,0.000,0.104,"{'learning_rate': [0.06], 'max_depth': [8], 'n_estimators': [30], 'num_leaves': [20]}"
120,sigma,i_01s2h,ii_random,des_random_less10,iii_lgbm,0.044,0.153,0.000,0.120,0.000,0.104,"{'learning_rate': [0.053], 'max_depth': [8], 'n_estimators': [30], 'num_leaves': [20]}"
121,sigma,i_01s2d,ii_random,des_random_less10,iii_lgbm,0.044,0.155,0.000,0.124,0.000,0.104,"{'learning_rate': [0.065], 'max_depth': [8], 'n_estimators': [30], 'num_leaves': [20]}"
122,sigma,i_01s2p,ii_la,la_ff_final,iii_lgbm,0.044,0.156,0.000,0.124,0.000,0.103,"{'learning_rate': [0.074], 'max_depth': [10], 'n_estimators': [30], 'num_leaves': [20]}"
123,sigma,i_10s2l,ii_la,rf_ff_less5,iii_rf,0.046,0.074,0.000,0.091,0.000,0.077,"{'max_depth': [4], 'max_features': [3], 'max_leaf_nodes': [4], 'n_estimators': [1930]}"
124,sigma,i_10s2p,ii_la,rf_ff_less5,iii_rf,0.046,0.074,0.000,0.091,0.000,0.077,"{'max_depth': [4], 'max_features': [3], 'max_leaf_nodes': [4], 'n_estimators': [1930]}"
125,sigma,i_10s2h,ii_la,rf_ff_less5,iii_rf,0.046,0.074,0.000,0.091,0.000,0.077,"{'max_depth': [4], 'max_features': [3], 'max_leaf_nodes': [4], 'n_estimators': [1930]}"
126,sigma,i_10s2g,ii_la,rf_ff_less5,iii_rf,0.046,0.074,0.000,0.091,0.000,0.077,"{'max_depth': [4], 'max_features': [3], 'max_leaf_nodes': [4], 'n_estimators': [1930]}"
127,sigma,i_10s2d,ii_la,rf_ff_less5,iii_rf,0.046,0.074,0.000,0.091,0.000,0.077,"{'max_depth': [4], 'max_features': [3], 'max_leaf_nodes': [4], 'n_estimators': [1930]}"
128,sigma,i_11s2l,ii_la,rf_ff_less5,iii_rf,0.046,0.081,0.000,0.105,0.000,0.077,"{'max_depth': [4], 'max_features': [4], 'max_leaf_nodes': [6], 'n_estimators': [1910]}"
129,sigma,i_11s2p,ii_la,rf_ff_less5,iii_rf,0.046,0.081,0.000,0.105,0.000,0.077,"{'max_depth': [4], 'max_features': [4], 'max_leaf_nodes': [6], 'n_estimators': [1910]}"
