,target name,complex feature set,feature selection parameter 1,feature selection parameter 2,learner algorithm,duality set RMSE,duality set R^2,test set RMSE,test set R^2,learner parameter dict
14317,integ,I_12s3p,II_sp,26,III_dtr,398036.600,0.274,430495.000,0.086,"{'max_depth': [2], 'max_features': [5], 'max_leaf_nodes': [4]}"
14318,integ,I_12s1p,II_r2r,104,III_dtr,379637.300,0.340,430525.700,0.086,"{'max_depth': [6], 'max_features': [20], 'max_leaf_nodes': [10]}"
14319,integ,I_12s1p,II_rr2,104,III_dtr,379637.300,0.340,430525.700,0.086,"{'max_depth': [6], 'max_features': [20], 'max_leaf_nodes': [10]}"
14320,integ,I_12s1d,II_sp,10,III_la,397638.400,0.275,430536.900,0.086,{'alpha': [199.0]}
14321,integ,I_10cn,II_ps,36,III_la,377018.400,0.349,430547.100,0.086,{'alpha': [199.0]}
14322,integ,I_10cn,II_ps,54,III_mlr,366736.700,0.384,430555.000,0.086,{}
14323,integ,I_01s3d,II_sp,62,III_dtr,391572.000,0.297,430564.500,0.086,"{'max_depth': [2], 'max_features': [20], 'max_leaf_nodes': [4]}"
14324,integ,I_13s1l,II_r2r,78,III_dtr,397410.200,0.276,430565.300,0.086,"{'max_depth': [4], 'max_features': [20], 'max_leaf_nodes': [4]}"
14325,integ,I_13s1l,II_rr2,78,III_dtr,397410.200,0.276,430565.300,0.086,"{'max_depth': [4], 'max_features': [20], 'max_leaf_nodes': [4]}"
14326,integ,I_01s1g,II_ps,80,III_dtr,418932.100,0.196,430625.300,0.086,"{'max_depth': [2], 'max_features': [15], 'max_leaf_nodes': [2]}"
14327,integ,I_01s1g,II_sp,98,III_dtr,418932.100,0.196,430625.300,0.086,"{'max_depth': [2], 'max_features': [35], 'max_leaf_nodes': [2]}"
14328,integ,I_01s1g,II_sp,84,III_dtr,418932.100,0.196,430625.300,0.086,"{'max_depth': [2], 'max_features': [25], 'max_leaf_nodes': [2]}"
14329,integ,I_12s1d,II_sp,4,III_la,406100.400,0.244,430633.700,0.086,{'alpha': [199.0]}
14330,integ,I_12s1d,II_r2r,8,III_la,403388.000,0.254,430646.400,0.085,{'alpha': [199.0]}
14331,integ,I_12s1d,II_rr2,8,III_la,403388.000,0.254,430646.400,0.085,{'alpha': [199.0]}
14332,integ,I_12s1l,II_ps,86,III_dtr,399539.100,0.268,430654.700,0.085,"{'max_depth': [2], 'max_features': [60], 'max_leaf_nodes': [4]}"
14333,integ,I_12s1l,II_sp,84,III_dtr,399539.100,0.268,430654.700,0.085,"{'max_depth': [4], 'max_features': [30], 'max_leaf_nodes': [4]}"
14334,integ,I_01s2h,II_ps,20,III_dtr,396474.400,0.280,430684.400,0.085,"{'max_depth': [4], 'max_features': [15], 'max_leaf_nodes': [8]}"
14335,integ,I_01s2h,II_ps,96,III_dtr,395416.100,0.283,430755.200,0.085,"{'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [8]}"
14336,integ,I_01s1p,II_r2r,92,III_dtr,404299.100,0.251,430767.900,0.085,"{'max_depth': [2], 'max_features': [5], 'max_leaf_nodes': [4]}"
14337,integ,I_01s1p,II_rr2,92,III_dtr,404299.100,0.251,430767.900,0.085,"{'max_depth': [2], 'max_features': [5], 'max_leaf_nodes': [4]}"
14338,integ,I_01s2p,II_r2r,98,III_dtr,400378.700,0.265,430785.900,0.085,"{'max_depth': [4], 'max_features': [5], 'max_leaf_nodes': [10]}"
14339,integ,I_01s2p,II_rr2,98,III_dtr,400378.700,0.265,430785.900,0.085,"{'max_depth': [4], 'max_features': [5], 'max_leaf_nodes': [10]}"
14340,integ,I_10cg,II_r2r,96,III_dtr,403430.300,0.254,430813.600,0.085,"{'max_depth': [2], 'max_features': [70], 'max_leaf_nodes': [4]}"
14341,integ,I_10cg,II_rr2,96,III_dtr,403430.300,0.254,430813.600,0.085,"{'max_depth': [2], 'max_features': [70], 'max_leaf_nodes': [4]}"
14342,integ,I_12s1l,II_ps,48,III_dtr,403159.000,0.255,430829.900,0.085,"{'max_depth': [2], 'max_features': [10], 'max_leaf_nodes': [4]}"
14343,integ,I_10cl,II_r2r,92,III_dtr,412926.100,0.219,430834.300,0.085,"{'max_depth': [2], 'max_features': [20], 'max_leaf_nodes': [4]}"
14344,integ,I_10cl,II_rr2,92,III_dtr,412926.100,0.219,430834.300,0.085,"{'max_depth': [2], 'max_features': [20], 'max_leaf_nodes': [4]}"
14345,integ,I_01s1g,II_ps,78,III_dtr,391003.400,0.299,430877.000,0.084,"{'max_depth': [4], 'max_features': [30], 'max_leaf_nodes': [4]}"
