,target name,complex feature set,feature selection parameter 1,feature selection parameter 2,learner algorithm,training set RMSE,training set R^2,duality set RMSE,duality set R^2,test set RMSE,test set R^2,learner parameter dict
67,emev,i_12s3h,ii_corr,35,iii_gbrt,0.100,0.576,0.100,0.438,0.100,0.450,"{'learning_rate': [0.15], 'max_depth': [4], 'max_features': [15], 'max_leaf_nodes': [14], 'n_estimators': [140]}"
68,emev,i_11s1l,ii_random,des_random_2,iii_gbrt,0.099,0.586,0.100,0.461,0.100,0.446,"{'learning_rate': [0.13], 'max_depth': [6], 'max_features': [18], 'max_leaf_nodes': [6], 'n_estimators': [200]}"
69,emev,i_11s3h,ii_corr,20,iii_gbrt,0.107,0.519,0.100,0.392,0.100,0.444,"{'learning_rate': [0.1], 'max_depth': [4], 'max_features': [16], 'max_leaf_nodes': [8], 'n_estimators': [210]}"
70,emev,i_02s3h,ii_random,des_random_1,iii_gbrt,0.098,0.595,0.100,0.459,0.100,0.436,"{'learning_rate': [0.22], 'max_depth': [4], 'max_features': [10], 'max_leaf_nodes': [6], 'n_estimators': [200]}"
71,emev,i_11s3p,ii_random,des_random_9,iii_gbrt,0.108,0.509,0.100,0.341,0.100,0.434,"{'learning_rate': [0.089], 'max_depth': [4], 'max_features': [15], 'max_leaf_nodes': [8], 'n_estimators': [170]}"
72,emev,i_13s3h,ii_random,des_random_5,iii_rf,0.102,0.563,0.100,0.450,0.100,0.434,"{'max_depth': [16], 'max_features': [15], 'max_leaf_nodes': [50], 'n_estimators': [1860]}"
73,emev,i_01s3h,ii_random,des_random_7,iii_lgbm,0.097,0.602,0.100,0.434,0.100,0.415,"{'learning_rate': [0.23], 'max_depth': [10], 'n_estimators': [880], 'num_leaves': [20]}"
74,emev,i_02s1p,ii_la,la_ff_final,iii_gbrt,0.099,0.592,0.100,0.323,0.100,0.415,"{'learning_rate': [0.09], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [8], 'n_estimators': [220]}"
75,emev,i_13s1p,ii_la,la_ff_final,iii_gbrt,0.094,0.628,0.100,0.326,0.100,0.410,"{'learning_rate': [0.069], 'max_depth': [8], 'max_features': [15], 'max_leaf_nodes': [14], 'n_estimators': [200]}"
76,emev,i_11s1h,ii_random,des_random_3,iii_gbrt,0.101,0.575,0.100,0.424,0.100,0.404,"{'learning_rate': [0.09], 'max_depth': [6], 'max_features': [18], 'max_leaf_nodes': [6], 'n_estimators': [160]}"
77,emev,i_12s1p,ii_rf,rf_ff_final,iii_gbrt,0.097,0.606,0.100,0.297,0.100,0.387,"{'learning_rate': [0.09], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [8], 'n_estimators': [230]}"
78,emev,i_01s1p,ii_random,des_random_8,iii_gbrt,0.091,0.654,0.100,0.320,0.100,0.386,"{'learning_rate': [0.094], 'max_depth': [6], 'max_features': [5], 'max_leaf_nodes': [10], 'n_estimators': [250]}"
79,emev,i_10s3g,ii_random,des_random_less10,iii_rf,0.119,0.408,0.100,0.319,0.100,0.385,"{'max_depth': [10], 'max_features': [10], 'max_leaf_nodes': [22], 'n_estimators': [1520]}"
80,emev,i_02s1g,ii_random,des_random_5,iii_gbrt,0.115,0.442,0.100,0.321,0.100,0.375,"{'learning_rate': [0.1], 'max_depth': [6], 'max_features': [10], 'max_leaf_nodes': [6], 'n_estimators': [100]}"
81,emev,i_02s1d,ii_random,des_random_9,iii_gbrt,0.110,0.494,0.100,0.389,0.100,0.373,"{'learning_rate': [0.1], 'max_depth': [4], 'max_features': [12], 'max_leaf_nodes': [6], 'n_estimators': [370]}"
82,emev,i_13s1g,ii_rf,rf_ff_final,iii_rf,0.110,0.496,0.100,0.309,0.100,0.366,"{'max_depth': [12], 'max_features': [15], 'max_leaf_nodes': [50], 'n_estimators': [1580]}"
83,emev,i_02s3d,ii_corr,25,iii_lgbm,0.106,0.528,0.100,0.397,0.100,0.364,"{'learning_rate': [0.092], 'max_depth': [10], 'n_estimators': [160], 'num_leaves': [20]}"
84,emev,i_12s1d,ii_rf,rf_ff_final,iii_gbrt,0.113,0.460,0.100,0.387,0.100,0.356,"{'learning_rate': [0.11], 'max_depth': [6], 'max_features': [8], 'max_leaf_nodes': [8], 'n_estimators': [170]}"
85,emev,i_01s3d,ii_random,des_random_9,iii_svm_rbf,0.110,0.491,0.100,0.281,0.100,0.352,{'gamma': [0.048]}
86,emev,i_12s1g,ii_mlr,mlr_ff_multifinal,iii_lgbm,0.119,0.409,0.100,0.319,0.100,0.350,"{'learning_rate': [0.09], 'max_depth': [10], 'n_estimators': [90], 'num_leaves': [20]}"
87,emev,i_10s3l,ii_mlr,mlr_ff_multifinal,iii_rf,0.122,0.376,0.100,0.220,0.100,0.340,"{'max_depth': [8], 'max_features': [13], 'max_leaf_nodes': [24], 'n_estimators': [2050]}"
88,emev,i_13s3d,ii_random,des_random_5,iii_gbrt,0.111,0.483,0.100,0.282,0.100,0.324,"{'learning_rate': [0.091], 'max_depth': [6], 'max_features': [21], 'max_leaf_nodes': [6], 'n_estimators': [130]}"
89,emev,i_12s3d,ii_random,des_random_9,iii_gbrt,0.111,0.479,0.100,0.308,0.100,0.317,"{'learning_rate': [0.067], 'max_depth': [6], 'max_features': [21], 'max_leaf_nodes': [6], 'n_estimators': [190]}"
90,emev,i_10s3d,ii_random,des_random_4,iii_lgbm,0.123,0.360,0.100,0.224,0.100,0.307,"{'learning_rate': [0.11], 'max_depth': [10], 'n_estimators': [390], 'num_leaves': [20]}"
91,emev,i_01s2l,ii_random,des_random_6,iii_lgbm,0.123,0.366,0.100,0.225,0.100,0.306,"{'learning_rate': [0.095], 'max_depth': [10], 'n_estimators': [130], 'num_leaves': [20]}"
92,emev,i_11s1p,ii_random,des_random_6,iii_gbrt,0.112,0.469,0.100,0.189,0.100,0.304,"{'learning_rate': [0.084], 'max_depth': [6], 'max_features': [13], 'max_leaf_nodes': [6], 'n_estimators': [200]}"
93,emev,i_11s3d,ii_random,des_random_0,iii_rf,0.113,0.462,0.100,0.259,0.100,0.300,"{'max_depth': [8], 'max_features': [15], 'max_leaf_nodes': [50], 'n_estimators': [1210]}"
94,emev,i_10s3p,ii_random,des_random_less10,iii_lgbm,0.130,0.294,0.100,0.250,0.100,0.300,"{'learning_rate': [0.084], 'max_depth': [4], 'n_estimators': [80], 'num_leaves': [20]}"
95,emev,i_13s1d,ii_rf,rf_ff_final,iii_gbrt,0.122,0.376,0.100,0.316,0.100,0.295,"{'learning_rate': [0.079], 'max_depth': [6], 'max_features': [15], 'max_leaf_nodes': [6], 'n_estimators': [80]}"
96,emev,i_11s1g,ii_random,des_random_less10,iii_gbrt,0.128,0.315,0.100,0.247,0.100,0.293,"{'learning_rate': [0.12], 'max_depth': [4], 'max_features': [8], 'max_leaf_nodes': [4], 'n_estimators': [70]}"
